id,class,cls_id,center,area_px,occ
1,car,2,"(837, 453)",15956,1.4755711410984849
2,truck,7,"(864, 362)",9961,0.9211684718276516
3,car,2,"(972, 403)",7347,0.6794322620738636
4,person,0,"(61, 568)",17975,1.6622832327178032
5,car,2,"(737, 419)",7631,0.7056958747632576
6,bicycle,1,"(305, 653)",34603,3.199999260179924
7,person,0,"(1298, 566)",15188,1.4045484138257576
8,person,0,"(870, 572)",12834,1.186856356534091
9,person,0,"(1127, 615)",28792,2.662612452651515
10,car,2,"(992, 496)",29208,2.701083096590909
11,person,0,"(965, 587)",15679,1.449954870975379
12,dog,16,"(669, 690)",4493,0.4155014500473485
13,motorcycle,3,"(666, 459)",3475,0.32135934540719696
14,traffic light,9,"(880, 71)",4165,0.3851688269412879
15,backpack,24,"(157, 521)",3552,0.32848011363636365
16,person,0,"(582, 533)",9620,0.8896336410984849
17,person,0,"(162, 560)",19389,1.7930464311079544
18,car,2,"(654, 355)",1738,0.16072591145833331
19,car,2,"(775, 372)",3105,0.2871426669034091
20,person,0,"(716, 604)",10384,0.9602864583333334
21,person,0,"(1073, 591)",14184,1.3117009943181819
22,person,0,"(115, 501)",8107,0.7497151692708333
23,backpack,24,"(258, 529)",3376,0.31220407196969696
24,person,0,"(259, 551)",15164,1.4023289535984849
25,handbag,26,"(982, 634)",2458,0.22730971827651514
26,person,0,"(755, 584)",12830,1.1864864464962122
27,motorcycle,3,"(1378, 440)",3558,0.3290349786931818
28,person,0,"(668, 433)",4033,0.3729617956912879
29,person,0,"(415, 533)",9407,0.8699359315814394
30,car,2,"(505, 371)",2132,0.19716205018939395
31,handbag,26,"(1312, 611)",2025,0.18726695667613638
32,car,2,"(688, 363)",1409,0.13030081084280304
33,traffic light,9,"(530, 340)",1849,0.1709909150094697
34,bicycle,1,"(373, 527)",1827,0.16895640980113638
35,motorcycle,3,"(584, 416)",1427,0.13196540601325757
36,person,0,"(317, 462)",5457,0.5046497691761364
37,backpack,24,"(1157, 586)",1779,0.1645174893465909
38,person,0,"(464, 491)",3186,0.29463334517045453
39,handbag,26,"(949, 571)",2626,0.24284593986742425
40,handbag,26,"(948, 582)",1718,0.1588763612689394
41,car,2,"(729, 356)",2155,0.19928903290719696
42,backpack,24,"(60, 511)",2413,0.22314823035037878
43,traffic light,9,"(1010, 199)",3721,0.34410881273674243
44,handbag,26,"(300, 554)",991,0.0916452118844697
